Capture number,Delta E(mJ),Time (s),Ecart type (mJ)
1,-1,-1,Ecart type energy
2,-1,-1,0.0
3,-1,-1,Ecart type temps
4,-1,-1,0.0
5,-1,-1,nan
6,-1,-1,nan
7,-1,-1,nan
8,-1,-1,nan
9,-1,-1,nan
10,-1,-1,nan
Average ,-1.0,-1.0,nan
