--,Without LTL ,With LTL
E static(mJ/transaction),5.07270206395,5.07270206395
E dynamique(mJ/transaction),27.8812702,104.38118200000001
E total,32.95397226395,109.45388406395001
Estimation en jour,188.48104462962962,63.22661129629629
