Moy current listen:(mA),Moy current reception:(mA),Moy current envoi(mA)
0.1861199690402473,10.320780451866355,67.83789974619282
xx,time  reception:(ms),time envoie(ms)
0,253.9999999999999,97.99999999999997
xx,energy:(mE),time:(ms)
0,27.8812702,351.9999999999999
