Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,105.47290549999998,1.4170000000000003,
2,105.1784,1.427,
3,105.50570000000008,1.4269999999999996,
4,105.16290000000004,1.4169999999999998,
5,106.49709999999999,1.4269999999999996,
6,105.85490000000004,1.4269999999999978,
7,105.44949999999994,1.4280000000000008,
8,105.15009999999995,1.416999999999998,
9,105.27449999999999,1.4280000000000008,
10,105.34880000000021,1.426999999999996,
Average and ecart type,105.48948055000002,1.4241999999999995,0.391864434932184
