Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,93.23464179999999,1.3470000000000002,
2,92.94632999999999,1.3379999999999992,
3,93.0011000000001,1.338,
4,93.1456,1.3469999999999995,
5,92.85699999999997,1.338000000000001,
6,92.9145999999999,1.3369999999999997,
7,93.14199999999994,1.3470000000000013,
8,92.9633,1.3369999999999997,
9,93.08439999999973,1.3369999999999997,
10,93.08249999999987,1.3480000000000025,
Average and ecart type,93.03714717999995,1.3414000000000004,0.11336725426140225
