Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,365.73701,1.468,
2,365.7768,1.468,
3,365.79050000000007,1.468,
4,365.7850000000001,1.4680000000000017,
5,365.7220000000002,1.4679999999999982,
6,365.60199999999963,1.468,
7,365.5189999999993,1.468,
8,366.0619999999999,1.4679999999999964,
9,366.0079999999998,1.468,
10,365.99000000000024,1.4679999999999964,
Average and ecart type,365.7992309999999,1.4679999999999993,0.16645489373714636
