Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,313.60295599999995,1.191,
2,313.63289999999995,1.1910000000000003,
3,313.6106,1.1909999999999998,
4,313.7149999999999,1.190999999999999,
5,313.5749999999998,1.1910000000000007,
6,313.683,1.1920000000000002,
7,313.64699999999993,1.1920000000000002,
8,313.64300000000003,1.1920000000000002,
9,313.4190000000003,1.190999999999999,
10,313.3180000000002,1.1910000000000025,
Average and ecart type,313.58464560000004,1.1913000000000002,0.11658813487750297
