--,Without LTL ,With LTL
E static(mJ/transaction),51.89791919892,51.89791919892
E dynamique(mJ/transaction),311.3145355063,370.65213729410004
E total,363.21245470522,422.55005649302007
Estimation en jour,200.546549212963,172.80695717592593
