Max current sensors:(mA),Max current ltl:(mA),Max current sensors:lsSend(mA)
12.955000000000002,nan,95.54700000000001
time sensors:(ms),time  ltl:(ms),time lsSend(ms)
304.0,nan,1097.9999999999998
Moy current sensors:(mA),Moy current ltl:(mA),Moy current sensors:lsSend(mA)
10.908159408381234,nan,91.45161415888913
