Moy current listen:(mA),Moy current reception:(mA),Moy current envoi(mA)
0.13371607393543095,10.355169351590892,74.66110647359407
xx,time  reception:(ms),time envoie(ms)
0,1241.0000000000005,292.9999999999997
xx,energy:(mE),time:(ms)
0,104.38118200000001,1534.0000000000002
