Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,44.11699170000001,1.0499999999999998,
2,44.14907,1.0500000000000003,
3,44.191299999999956,1.0489999999999995,
4,44.6542,1.0490000000000004,
5,44.890000000000015,1.0489999999999995,
6,44.8382,1.0600000000000005,
7,44.56540000000001,1.0489999999999995,
8,44.25510000000003,1.0489999999999995,
9,44.14099999999996,1.0500000000000007,
10,44.13819999999993,1.0500000000000007,
Average and ecart type,44.39394616999999,1.0505,0.2944416842419367
