Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,358.503046,1.439,
2,358.5992,1.4390000000000005,
3,358.64180000000033,1.439,
4,358.7549999999999,1.439000000000001,
5,358.64300000000026,1.439,
6,358.67700000000013,1.439,
7,358.65900000000056,1.439,
8,358.54100000000017,1.439,
9,358.46199999999953,1.439,
10,358.28500000000076,1.439,
Average and ecart type,358.57660460000017,1.4390000000000003,0.12755724624818687
